date: 2024-05-07

id,alias
NI-WEI,NI
QCMNTA,qcMNTA
FACTORY/WORMHOLE14EJQJYQ8UM4P3XFQJ74YLD5WAQLJF88FZ25YXNMA0CNGSPXE3LES00FPJX/8SYGCZLRJC3J7QPN2BNBX6PIGCARHYX8RBHVANNFVHCA,whSOL
QCKUJI,qcKUJI
PAXG,gPAXG
STINJ,stINJ
FACTORY/NEUTRON1P8D89WVXYJCNAWMGW72KLKNR3LG9GWWL6YPXDA/NEWT,NEWT
YIELDETH-WEI,yieldETH
FACTORY/OSMO1MLNG7PZ4PNYXTPQ0AKFWALL37CZYK9LUKAUCSRN30AMEPLHHSHTQDVFM5C/ULVN,LVN
CW20:TERRA1XP9HRHTHZDDNL7J5DU83GQQR4WMDJM5T0GUZG9JP6JWRTPUKWFJSJGY4F3,SAYVE
wFTM.axl,wFTM
wETH.axl,wETH
wBTC.axl,wBTC
