date: 2024-05-01

asset,amount,quote
AQUA,24577.93,$0.006
ASTRO,273.224,$0.183
ATOM,132.4609,$9.801
CMDX,998.4125,$0.083
CMST,34.4664,$0.964
DAI,0.025699615,$1.000
DOT,132.55565,$4.292
EVMOS,226.27345,$1.449
FRNZ,1.3034999,$253.390
FUZN,1630.5001,$0.046
INJ,1,$39.617
JUNO,538.5298,$0.812
KUJI,4597.054,$0.855
LINK,1.4878999,$4.719
LOCAL,15926.475,$0.022
LP KUJI-ATOM,29.030994,$5.850
LUNA,4503.5415,$0.778
MNTA,5133.918,$0.234
NSTK,1620.4486,$0.204
NTRN,176.77222,$0.206
OSMO,18.805542,$0.000
ROAR,43518404,$0.000
SCRT,419.57825,$0.712
STARS,501,$0.030
USDC,1347.4855,$0.995
USK,1427.8569,$1.001
WHALE,3915.115,$0.019
WINK,2607.4624,$0.087
ampLUNA,2050.762,$1.610
ampWHALE,484.0141,$0.032
axlUSDC,4730.7153,$1.000
axlUSDT,111.8676,$0.981
gPAXG,0.081913,$1179.208
qcKUJI,0.0053,$4.223
qcMNTA,1213.3109,$0.856
rATOM,0.0027999878,$0.000
stATOM,266.07263,$10.983
stINJ,26.2868,$9.334
stOSMO,244.32233,$0.153
wAVAX,20.637962,$32.711
wBNB,2.4053617,$187.776
wBTC,0.06221,$42271.609
wETH,2.5401428,$1801.873
wFTM,1000,$0.818
wstETH,2.7478998,$2376.940
xUSK,79.161,$1.069
xaxlUSDC,45.77,$1.094

