date: 2024-01-11

asset,quote
wBNB,$304.6385
NI,$0.000
CNTO,$0.000
PLNK,$0.026
wMATIC,$0.000
ERC20/0X655ECB57432CC1370F65E5DC2309588B71B473A9,$0.000
NEWT,$0.125
GRAV,$0.006
OSMO,$0.000
ARCH,$0.000
ampKUJI,$4.174
FUZN,$0.075
AKT,$3.724
stINJ,$0.000
DAI,$0.000
SOMM,$0.000
ampWHALE,$0.000
CMDX,$0.000
SAT,$0.000
JUNO,$0.000
AXL,$0.000
FURY,$0.000
ADYDX,$0.000
RIO,$0.679
qcMNTA,$0.000
STARS,$0.046
RAC,$0.000
wAVAX,$36.0647
stOSMO,$2.1135
RATOM,$0.000
DVPN,$0.000
SHD.legacy,$0.000
GRAVITY0X83F20F44975D03B1B09E64809B757C47F942BEEA,$0.000
SWTH,$0.000
wBTC,$42794.371
ARB,$2.0623
USK,$0.996
SHD,$0.000
NSTK,$0.165
yieldETH,$0.000
ACRE,$0.000
STRD,$2.853
FRIENZIES,$0.000
CRBRUS,$0.000
axlUSDT,$0.000
LOOP,$0.000
USDC,$0.999
DOT,$7.5172
EVMOS,$0.000
WINK,$0.123
LOCAL,$0.026
wstETH,$2899.4265
FLIX,$0.000
ROAR,$0.000
CRE,$0.000
REGEN,$0.000
PLQ,$0.000
ampLUNA,$0.000
whSOL,$97.364
UMEE,$0.000
NTRN,$0.000
wETH,$2509.860
MNTL,$0.000
CRO,$0.000
ampMNTA,$0.907
SCRT,$0.000
qcKUJI,$4.035
TORI,$0.000
MNTA,$0.895
TAO,$0.000
ASTRO,$0.288
stATOM,$13.1517
KUJI,$4.033
SILK,$0.000
axlUSDC,$1.000
LUNA,$0.7446
wFTM,$0.3861
LINK,$15.1037
GLTO,$0.000
CW20:TERRA1XP9HRHTHZDDNL7J5DU83GQQR4WMDJM5T0GUZG9JP6JWRTPUKWFJSJGY4F3,$0.000
MARS,$0.000
TIA,$18.951
INJ,$39.633
PEPE,$0.000
LP-KUJI-ATOM,$0.000
gPAXG,$1930.080
WHALE,$0.061
ATOM,$10.429
CMST,$0.000
