date: 2023-02-25

a	b	ratio
ATOM	OSMO	13.3726
CMDX	axlUSDC	0.1035
EVMOS	axlUSDC	0.363462
ampLUNA	LUNA	1.102656
stATOM	ATOM	1.083974
DAI	axlUSDC	0.999664
CMDX	CMST	0.10256
CMDX	LUNA	0.061336
CMDX	wBNB	0.000344
CMDX	EVMOS	0.28816
CMDX	stATOM	0.007427
CMDX	wBTC	0.000005
CMDX	wETH	0.000066
CMDX	OSMO	0.1102
CMDX	ATOM	0.008187
OSMO	wETH	0.00059522
OSMO	wBTC	0.00004078
OSMO	EVMOS	2.56007241
OSMO	MARS	3.811636
OSMO	STARS	43.32058
OSMO	DOT	0.14657059
OSMO	wBNB	0.00313082
OSMO	wAVAX	0.05311405
OSMO	CMDX	8.994901
OSMO	SWTH	104.097216
OSMO	KUJI	1.720165
OSMO	LINK	0.12956068
OSMO	LUNA	0.56208
OSMO	axlUSDT	0.934653
