Trade	type	date	Asset	amount	for	amount	at price	valuation	tx_id	commission	fee	KUJI ($)	fee ($)	commission ($)	ratio	inverted	premium/ROI	APR
1	SELL	2023-05-02 14:56	USK	0.7791	LINK	0.1161	$6.712	$1.0002				$0.694	$0.000	$0.0000	1.00	0.9997905714		
2	SELL	2023-05-05 16:34	USK	100.8748	axlUSDC	104.145	$0.969	$1.0000	https://finder.kujira.app/kaiyo-1/tx/8C4C8F59BAAFE6798E6512FCD88B41A86E9EE7D2F2E0EED130432BE4B63685A4	0.075656	0.000329	$0.661	$0.000	$0.0757	1.00	0.9999995341	0.87%	482.47%
3	SELL	2023-05-05 16:50	axlUSDC	97.9158	LUNA	72.854	$1.34	$1.0000	https://finder.kujira.app/kaiyo-1/tx/B3BA1891DC90E2DFE6E18841EF3B7CA915D07248D86ABC58A1AD6489493E0C22	0.073436	0.000325	$0.661	$0.000	$0.0734	1.00	1.000000245		
4	SELL	2023-05-05 16:58	LUNA	114.1247	ampLUNA	98.7751	$1.37	$1.1839	https://finder.kujira.app/kaiyo-1/tx/384BBA04518EDBE7CF7358E8A6DF4D9FB6DCE405043258D346571E7DC7821301	0.085593	0.000352	$0.661	$0.000	$0.1013	1.18	0.8446767128	1.1554	
5	BUY	2023-05-05 17:07	KUJI	372.3234	USK	234.1914	$1.000	$0.6290	https://finder.kujira.app/kaiyo-1/tx/59BA852260338A2B8C6C2D12E0903B858CDF888B64072EFD2F0E0CA32A6FC285	0.279242	0.000316	$0.661	$0.000	$0.1756	0.63	1.589825246	3.42%	416.49%
6	BUY	2023-05-06 8:54	axlUSDC	104.7011	USK	100	$1.00	$0.9551	https://finder.kujira.app/kaiyo-1/tx/56871089EB1DD50D81D51A44668576AE1BE65E20B1250D6CFDFAD9499970378F	0.154299	0.000348	$0.665	$0.000	$0.1474	0.96	1.047011		
7	BUY	2023-05-06 8:54	axlUSDC	101.033	USK	96.4966	$1.00	$0.9551	https://finder.kujira.app/kaiyo-1/tx/56871089EB1DD50D81D51A44668576AE1BE65E20B1250D6CFDFAD9499970378F	0	0	$0.665	$0.000	$0.0000	0.96	1.047010983	1.03%	280.88%
8	LIQUIDATION	2023-05-06 14:44	LUNA	27.9310	USK	30.0000	$1.0000	$1.0741	https://finder.kujira.app/kaiyo-1/tx/AE5230BF79D5380979AF767EBAB623A9617450ABD30C975A6CC8B4B70A6B0863	0.139655	0.000368	$0.665	$0.000	$0.1500	1.07	0.9310349667	5.34%	
9	SELL	2023-05-06 14:59	LUNA	26.1971	ampLUNA	22.2632	$1.34	$1.1371	https://finder.kujira.app/kaiyo-1/tx/3BA4EAE59869C970F1775B767453C3A93E6D04D2BB6DDE41F202FAF3638F159F	0.019647	0.000352	$0.665	$0.000	$0.0223	1.14	0.879446686	1.1767	
10	SELL	2023-05-06 15:31	LUNA	63.5622	ampLUNA	54.5598	$1.34	$1.1485	https://finder.kujira.app/kaiyo-1/tx/068140544E60B20727DA88B734C68F74BD1CCEAE002AC9DD24AFBF720BBA3158	0.047671	0.000352	$0.665	$0.000	$0.0548	1.15	0.8707029932	1.1650	
11	SELL	2023-05-06 15:31	LUNA	7.0427	ampLUNA	6.0453	$1.34	$1.1485	https://finder.kujira.app/kaiyo-1/tx/96F539FA3BB673D217704856F1C64AB24867E72D19C83BD341D2CE09AF2A4D77	0.005282	0.000315	$0.665	$0.000	$0.0061	1.15	0.8706933306	1.1650	
12	SELL	2023-05-07 19:57	LUNA	64.0554	ampLUNA	54.3349	$1.34	$1.1350	https://finder.kujira.app/kaiyo-1/tx/4C04A7659C79B36D0F3A29E56BA848A304CE41011F3E06E6AB93B209A21B3F5B	0.048041	0.00036	$0.665	$0.000	$0.0545	1.13	0.8810909937	1.1789	
13	BUY	2023-05-07 20:00	ATOM	4.9999	USK	25	$1.00	$5.0001	https://finder.kujira.app/kaiyo-1/tx/A1A621B96D0085D71871C8D019A76B7ECC2BB4ED0740A8CA0ACFFDEBF941960F	0.003749	0.000324	$0.665	$0.000	$0.0187	5.00	0.199996		
14	SELL	2023-05-07 20:04	WHALE	650.4576	ampWHALE	632.1259	$0.06	$0.0626	https://finder.kujira.app/kaiyo-1/tx/4C9D1379F72E30272B346C32DDCD396EB9BDC57AF7B28F2E167919FD385B1704	0.487843	0.000352	$0.665	$0.000	$0.0305	0.06	15.98486451	1.0290	
