domain	protocol
Leverage	GMX
Trading	GMX
Trading	Arbitrum
Money Market	Benqi
Trading	Avalanche
Staking	Indigo
Trading	Cardano
Staking	Osmosis
Trading	Nolus
Leverage	Nolus
Leasing	Nolus
Staking	Stride
LSD	Stride
Money Market	Geist
Money Market	POLTER
Trading	FANTOM
Money Market	Aave
Trading	ETHBTC
Arbitrage	ETHBTC
HODL	Sumo Vault
Arbitrage	Mensa
Trading	Mensa
Liquidations	ORCA
Trading	FIN
Money Market	Ghost
Staking	BLUE
Staking	Fuzion
Trading	Kujira
Staking	Kujira
Staking	Manta DAO
Trading	Manta DAO
Trading	Synthetix
Arbitrage	Synthetix
Money Market	Granary
Trading	Optimism
Arbitrage	Optimism
Arbitrage	Astroport
Arbitrage	Station
Arbitrage	Eris
LSD	Eris
Trading	Eris
HODL	Migaloo
Money Market	Capapult
HODL	Sun
HODL	Tron
