Protocol	Blockchain	invested	value	gain/loss	ROI	date
GMX	Arbitrum	$2,822.00	$3,211.52	$389.52	13.80%	2024-04-07
Arbitrage	Arbitrum	$6.00	$224.47	$218.47	3641.20%	2024-04-07
Benqi	Avalanche	$27,372.85	$30,849.14	$3,476.29	12.70%	2024-04-07
GMX	Avalanche	$7,776.92	$9,758.30	$1,981.38	25.48%	2024-04-07
Arbitrage	Avalanche	$2,109.86	$1,990.37	-$119.49	-5.66%	2024-04-07
Indigo	Cardano	$4,465.58	$6,658.96	$2,193.38	49.12%	2024-04-07
Levana	CØSMOS	$0.00	$0.00	$0.00	0.00%	2024-04-07
Nolus	CØSMOS	$5.00	$142.21	$137.21	2744.30%	2024-04-07
Osmosis	CØSMOS	$232.00	$843.99	$611.99	263.79%	2024-04-07
Stride	CØSMOS	$140.54	$543.32	$402.79	286.61%	2024-04-07
Injective	CØSMOS	$0.00	$372.86	$372.86	0.00%	2024-04-07
Geist	Fantom Opera	$17,324.65	$0.00	-$17,324.65	-100.00%	2024-04-07
AAVE	Harmony	$22,776.46	$0.00	-$22,776.46	-100.00%	2024-04-07
FIN	Kujira	$6,516.22	$7,518.583	$1,002.368	15.38%	2024-04-07
Ghost	Kujira	$32.37	$97.421	$65.053	200.98%	2024-04-07
Wallet	Kujira	$58.00	$83.862	$25.862	44.59%	2024-04-07
BLUE	Kujira	$13,862.94	$17,146.74	$3,283.79	23.69%	2024-04-07
FUZION	Kujira	$20.00	$17.500	-$2.500	-12.50%	2024-04-07
Manta	Kujira	$382.50	$992.000	$609.500	159.35%	2024-04-07
ETHBTC Trade	Kujira	$13,946.99	$14,553.48	$606.49	4.35%	2024-04-07
Mensa	Kujira	$545.04	$1,658.15	$1,113.11	204.22%	2024-04-07
ORCA Arbitrage	Kujira	$3,137.48	$4,603.38	$1,465.90	46.72%	2024-04-07
Sumo Vault	Kujira	$5,926.94	$5,092.01	-$834.94	-14.09%	2024-04-07
WhiteWhale	Migaloo	$137.00	$133.41	-$3.59	-2.62%	2024-04-07
Synthetix	Optimism	$192.60	$302.15	$109.55	56.88%	2024-04-07
Granary	Optimism	$98.20	$429.83	$331.63	337.72%	2024-04-07
Wallet	Optimism	$93.72	$134.56	$40.84	43.57%	2024-04-07
Backbone Labs	Terra	$0.00	$26.82	$26.82	0.00%	2024-04-07
CAPAPULT	Terra	$0.00	$5.35	$5.35	0.00%	2024-04-07
ERIS	Terra	$1,857.29	$2,211.82	$354.53	19.09%	2024-04-07
LION DAO	Terra	$38.50	$171.75	$133.25	346.10%	2024-04-07
STATION	Terra	$574.24	$608.75	$34.52	6.01%	2024-04-07
SUN	TRON	$550.00	$855.20	$305.20	55.49%	2024-04-07
