There are 5000 coins.

date,cmc_id,rank,symbol,name,price
2023-04-03,1,1,BTC,Bitcoin,$28238.549
2023-04-03,1027,2,ETH,Ethereum,$1806.907
2023-04-03,825,3,USDT,Tether,$1.000
2023-04-03,1839,4,BNB,BNB,$312.198
2023-04-03,3408,5,USDC,USD Coin,$1.000
2023-04-03,52,6,XRP,XRP,$0.515
2023-04-03,2010,7,ADA,Cardano,$0.396
2023-04-03,74,8,DOGE,Dogecoin,$0.078
2023-04-03,3890,9,MATIC,Polygon,$1.111
2023-04-03,5426,10,SOL,Solana,$20.405
2023-04-03,4687,11,BUSD,Binance USD,$1.000
2023-04-03,6636,12,DOT,Polkadot,$6.349
2023-04-03,2,13,LTC,Litecoin,$92.535
2023-04-03,5994,14,SHIB,Shiba Inu,$0.000
2023-04-03,1958,15,TRX,TRON,$0.066
2023-04-03,5805,16,AVAX,Avalanche,$17.260
2023-04-03,4943,17,DAI,Dai,$0.999
2023-04-03,3717,18,WBTC,Wrapped Bitcoin,$28278.848
2023-04-03,1975,19,LINK,Chainlink,$7.301
2023-04-03,7083,20,UNI,Uniswap,$5.992
2023-04-03,3957,21,LEO,UNUS SED LEO,$3.403
2023-04-03,3794,22,ATOM,Cosmos,$11.119
2023-04-03,512,23,XLM,Stellar,$0.110
2023-04-03,328,24,XMR,Monero,$160.543
2023-04-03,1321,25,ETC,Ethereum Classic,$20.465
2023-04-03,11419,26,TON,Toncoin,$2.224
2023-04-03,1831,27,BCH,Bitcoin Cash,$127.823
2023-04-03,3897,28,OKB,OKB,$40.965
2023-04-03,2280,29,FIL,Filecoin,$5.562
2023-04-03,4642,30,HBAR,Hedera,$0.072
2023-04-03,8000,31,LDO,Lido DAO,$2.417
2023-04-03,2563,32,TUSD,TrueUSD,$1.000
2023-04-03,21794,33,APT,Aptos,$11.529
2023-04-03,3635,34,CRO,Cronos,$0.068
2023-04-03,3077,35,VET,VeChain,$0.024
2023-04-03,6535,36,NEAR,NEAR Protocol,$1.917
2023-04-03,18876,37,APE,ApeCoin,$4.337
2023-04-03,4030,38,ALGO,Algorand,$0.218
2023-04-03,11841,39,ARB,Arbitrum,$1.198
2023-04-03,3155,40,QNT,Quant,$124.545
2023-04-03,8916,41,ICP,Internet Computer,$5.041
2023-04-03,1765,42,EOS,EOS,$1.215
2023-04-03,6719,43,GRT,The Graph,$0.140
2023-04-03,4847,44,STX,Stacks,$0.910
2023-04-03,3513,45,FTM,Fantom,$0.447
2023-04-03,1966,46,MANA,Decentraland,$0.599
2023-04-03,7334,47,CFX,Conflux,$0.391
2023-04-03,11221,48,BIT,BitDAO,$0.518
2023-04-03,2416,49,THETA,Theta Network,$1.073
2023-04-03,7278,50,AAVE,Aave,$73.985
2023-04-03,2011,51,XTZ,Tezos,$1.115
2023-04-03,6892,52,EGLD,MultiversX,$40.806
2023-04-03,4558,53,FLOW,Flow,$0.979
2023-04-03,6783,54,AXS,Axie Infinity,$8.311
2023-04-03,6210,55,SAND,The Sandbox,$0.617
2023-04-03,10603,56,IMX,Immutable,$1.057
2023-04-03,3330,57,USDP,Pax Dollar,$0.998
2023-04-03,1376,58,NEO,Neo,$12.157
2023-04-03,2943,59,RPL,Rocket Pool,$43.900
2023-04-03,4066,60,CHZ,Chiliz,$0.120
2023-04-03,2087,61,KCS,KuCoin Token,$8.186
2023-04-03,4172,62,LUNC,Terra Classic,$0.000
2023-04-03,19891,63,USDD,USDD,$0.987
2023-04-03,11840,64,OP,Optimism,$2.210
2023-04-03,3602,65,BSV,Bitcoin SV,$35.943
2023-04-03,6538,66,CRV,Curve DAO Token,$0.916
2023-04-03,7186,67,CAKE,PancakeSwap,$3.739
2023-04-03,4256,68,KLAY,Klaytn,$0.220
2023-04-03,2586,69,SNX,Synthetix,$2.651
2023-04-03,1518,70,MKR,Maker,$680.278
2023-04-03,8646,71,MINA,Mina,$0.740
2023-04-03,6953,72,FXS,Frax Share,$9.091
2023-04-03,131,73,DASH,Dash,$57.346
2023-04-03,11857,74,GMX,GMX,$73.411
2023-04-03,1437,75,ZEC,Zcash,$36.878
2023-04-03,3306,76,GUSD,Gemini Dollar,$0.989
2023-04-03,10791,78,XEC,eCash,$0.000
2023-04-03,16086,77,BTT,BitTorrent(New),$0.000
2023-04-03,1720,79,MIOTA,IOTA,$0.215
2023-04-03,2502,80,HT,Huobi Token,$3.652
2023-04-03,2634,81,XDC,XDC Network,$0.042
2023-04-03,4269,82,GT,GateToken,$5.108
2023-04-03,4705,83,PAXG,PAX Gold,$1977.825
2023-04-03,2424,84,AGIX,SingularityNET,$0.411
2023-04-03,5964,85,TWT,Trust Wallet Token,$1.152
2023-04-03,2469,86,ZIL,Zilliqa,$0.030
2023-04-03,1934,87,LRC,Loopring,$0.359
2023-04-03,4157,88,RUNE,THORChain,$1.456
2023-04-03,5690,89,RNDR,Render Token,$1.298
2023-04-03,8536,90,MASK,Mask Network,$6.050
2023-04-03,4279,91,SXP,Solar,$0.808
2023-04-03,7226,92,INJ,Injective,$5.374
2023-04-03,8104,93,1INCH,1inch Network,$0.517
2023-04-03,5899,94,CSPR,Casper,$0.039
2023-04-03,7950,95,FLR,Flare,$0.035
2023-04-03,8642,96,FEI,Fei USD,$0.981
2023-04-03,2130,97,ENJ,Enjin Coin,$0.400
2023-04-03,4846,98,KAVA,Kava,$0.847
2023-04-03,1697,99,BAT,Basic Attention Token,$0.264
2023-04-03,9903,100,CVX,Convex Finance,$5.128
