There are 5000 coins.

date,cmc_id,rank,symbol,name,price
2022-09-17,1,1,BTC,Bitcoin,$19958.71
2022-09-17,1027,2,ETH,Ethereum,$1442.98
2022-09-17,825,3,USDT,Tether,$1.00
2022-09-17,3408,4,USDC,USD Coin,$1.00
2022-09-17,1839,5,BNB,BNB,$277.44
2022-09-17,4687,6,BUSD,Binance USD,$1.00
2022-09-17,52,7,XRP,XRP,$0.37
2022-09-17,2010,8,ADA,Cardano,$0.48
2022-09-17,5426,9,SOL,Solana,$33.18
2022-09-17,74,10,DOGE,Dogecoin,$0.06
2022-09-17,6636,11,DOT,Polkadot,$7.07
2022-09-17,3890,12,MATIC,Polygon,$0.82
2022-09-17,4943,13,DAI,Dai,$1.00
2022-09-17,5994,14,SHIB,Shiba Inu,$0.00
2022-09-17,1958,15,TRX,TRON,$0.06
2022-09-17,5805,16,AVAX,Avalanche,$18.35
2022-09-17,3717,17,WBTC,Wrapped Bitcoin,$19944.63
2022-09-17,3957,18,LEO,UNUS SED LEO,$4.95
2022-09-17,1321,19,ETC,Ethereum Classic,$34.31
2022-09-17,3794,20,ATOM,Cosmos,$16.16
2022-09-17,7083,21,UNI,Uniswap,$5.95
2022-09-17,2,22,LTC,Litecoin,$57.54
2022-09-17,1975,23,LINK,Chainlink,$7.93
2022-09-17,6535,24,NEAR,NEAR Protocol,$4.32
2022-09-17,4195,25,FTT,FTX Token,$24.36
2022-09-17,512,26,XLM,Stellar,$0.11
2022-09-17,3635,27,CRO,Cronos,$0.11
2022-09-17,328,28,XMR,Monero,$151.14
2022-09-17,1831,29,BCH,Bitcoin Cash,$122.48
2022-09-17,4030,30,ALGO,Algorand,$0.31
2022-09-17,4172,31,LUNC,Terra Classic,$0.00
2022-09-17,4558,32,FLOW,Flow,$1.80
2022-09-17,3077,33,VET,VeChain,$0.02
2022-09-17,2280,34,FIL,Filecoin,$5.88
2022-09-17,8916,35,ICP,Internet Computer,$6.30
2022-09-17,18876,36,APE,ApeCoin,$4.83
2022-09-17,1765,37,EOS,EOS,$1.47
2022-09-17,4642,38,HBAR,Hedera,$0.06
2022-09-17,2011,39,XTZ,Tezos,$1.54
2022-09-17,1966,40,MANA,Decentraland,$0.75
2022-09-17,6210,41,SAND,The Sandbox,$0.90
2022-09-17,3155,42,QNT,Quant,$107.26
2022-09-17,4066,43,CHZ,Chiliz,$0.21
2022-09-17,6892,44,EGLD,Elrond,$50.82
2022-09-17,7278,45,AAVE,Aave,$80.46
2022-09-17,2416,46,THETA,Theta Network,$1.10
2022-09-17,6783,47,AXS,Axie Infinity,$13.08
2022-09-17,2563,48,TUSD,TrueUSD,$1.00
2022-09-17,3602,49,BSV,Bitcoin SV,$52.50
2022-09-17,3330,50,USDP,Pax Dollar,$1.00
2022-09-17,3897,51,OKB,OKB,$15.59
2022-09-17,2087,52,KCS,KuCoin Token,$9.18
2022-09-17,1437,53,ZEC,Zcash,$57.87
2022-09-17,10791,54,XEC,eCash,$0.00
2022-09-17,16086,55,BTT,BitTorrent-New,$0.00
2022-09-17,1720,56,MIOTA,IOTA,$0.27
