coingecko-id:,cardano,apecoin,arbitrum,astroport-fi,cosmos,aurora-near,avalanche-2,benqi-liquid-staked-avax,binancecoin,bitcoin,dogecoin,polkadot,ethereum,wrapped-steth,gmx,hedera-hashgraph,hbarx,indigo-dao-governance-token,kujira,lido-dao,chainlink,litecoin,terra-luna-2,mantadao,near,harmony,optimism,osmosis,pax-gold,benqi,lion-dao,snek,havven,solana,undead-blocks,tether,usd-coin
date,ADA,APE,ARB,ASTRO,ATOM,AURORA,AVAX,sAVAX,BNB,BTC,DOGE,DOT,ETH,wstETH,GMX,HBAR,HBARX,INDY,KUJI,LDO,LINK,LTC,LUNA,MNTA,NEAR,ONE,OP,OSMO,PAXG,QI,ROAR,SNEK,SNX,SOL,UNDEAD,USDt,USDC
2025-01-28,0.961172,0.926304,0.629689,0.01938653,5.86,0.16581,33.9,40.26,673.73,102705,0.331326,5.89,3177.41,3794.09,21.10868914,0.3139699828,0.4095704656,1.6,0.409752,1.89,23.91,114.61,0.319063,0.135446,4.2833,0.01882553,1.43,0.388306,2749.59,0.01368991,0.00000119,0.00641067,1.51,236.75,0.00309944,0.999885,0.999966
2025-01-29,0.948678,0.93359,0.615151,0.0186605,5.91,0.15926,33.29,39.48,671.82,103553,0.328678,5.83,3139.54,3742.56,19.75927026,0.2991112724,0.3927923069,1.61,0.397495,1.94,23.85,116.05,0.317582,0.135222,4.4132,0.01877894,1.46,0.388764,2762.34,0.01353866,0.00000121,0.00623438,1.53,232.68,0.00308984,0.999969,0.999992
2025-01-30,0.93954,0.948417,0.62138,0.01822321,6.13,0.16656,33.91,40.38,674.44,104055,0.326466,6.05,3226.72,3862.14,20.48483388,0.3091291486,0.4062480048,1.58,0.378089,2.07,24.31,126.22,0.321143,0.136757,4.6047,0.01968072,1.4,0.391236,2799.9,0.01365701,0.00000115,0.00645868,1.55,235.48,0.00308122,0.999964,0.999989
2025-01-31,0.973428,0.997165,0.651362,0.01828546,6.29,0.16884,35.21,41.83,682.6,104633,0.335823,6.37,3350.23,3994.27,21.32440186,0.3164725982,0.4171565122,1.61,0.353541,2.35,25.75,130.35,0.33361,0.136904,4.6156,0.02058839,1.45,0.407491,2807.88,0.01394092,0.00000116,0.00665979,1.63,239.96,0.00308795,0.999958,0.99999
2025-02-01,0.9231,0.9402,0.6096,0.0167,5.9500,0.16387,33.0200,39.1950,665.5350,101652.0000,0.3162,6.0350,3216.4800,3828.1400,20.94860784,0.3062922668,0.4008209391,1.4750,0.3082,2.1550,24.0450,123.4600,0.3136,0.1291,4.2716,0.0191,1.3700,0.3864,2835.8600,0.0131,0.00000110,0.0062,1.5200,226.1000,0.003085,0.9998,1.0000
2025-02-02,0.872731,0.883261,0.567864,0.01511585,5.61,0.15216,30.83,36.56,648.47,98671,0.296605,5.7,3082.73,3662.01,18.69944857,0.2865811996,0.3724845971,1.34,0.262795,1.96,22.34,116.57,0.293639,0.121293,3.7223,0.01760246,1.29,0.365227,2863.84,0.01225657,0.00000103,0.00572574,1.41,212.24,0.0030811,0.999583,0.999955
2025-02-03,0.721787,0.676769,0.446136,0.01515195,4.39,0.13729,25.91,30.43,577.06,96673,0.258921,4.72,2624.51,3110.69,18.26556717,0.2517862456,0.331207079,1.1,0.246806,1.64,19.28,97.44,0.235524,0.108216,3.7653,0.01413496,1.1,0.287156,2845.13,0.00945789,0.000000810255,0.0047761,1.18,199.48,0.00246164,1.001,0.999981
2025-02-04,0.762762,0.711317,0.48045,0.01525779,4.72,0.14316,27.03,32.15,587.31,99550,0.272949,4.85,2826.81,3371.43,18.74553055,0.274419688,0.3590551663,1.14,0.310118,1.83,20.58,103.57,0.247671,0.114433,3.4123,0.01516782,1.12,0.311193,2843.81,0.00969803,0.000000856627,0.0050972,1.089,212.81,0.00248233,1.001,0.999997
2025-02-05,0.764391,0.718019,0.490214,0.01537372,4.77,0.13376,27.08,32.16,575.2,98209,0.266221,4.8,2793.96,3330.36,16.7198404,0.2513168835,0.3283613031,1.14,0.297512,1.82,19.82,105.33,0.246205,0.111865,3.2826,0.01510204,1.13,0.304282,2903.34,0.0105869,0.000000797928,0.00499698,1.11,205.29,0.00246263,1,0.999961
2025-02-06,0.740986,0.67778,0.466072,0.01612328,4.6,0.13533,26.09,30.91,585.81,98339,0.259808,4.69,2776.56,3308.08,17.11161697,0.2386208835,0.311905528,1.12,0.305613,1.79,19.43,105.58,0.245472,0.11147,3.145,0.01406938,1.086,0.295168,2892.28,0.01158019,0.000000803685,0.00481611,1.028,198.59,0.00248065,1,0.999936
2025-02-07,0.727355,0.684075,0.451689,0.01641274,4.54,0.12879,25.34,29.96,584.15,97804,0.25378,4.74,2747.97,3289.09,16.48270208,0.2279584529,0.2995628086,1.077,0.323792,1.74,19.16,105.34,0.250863,0.11021,3.1988,0.01418415,1.077,0.290097,2893.78,0.01039663,0.000000802692,0.00460545,1.006,197.57,0.00246693,1,0.999998
