
Portfolio tokens,,,
,,,
date,token,id,price
2024-07-09,ADA,cardano,$0.376139
2024-07-09,ARB,arbitrum,$0.675785
2024-07-09,ASTRO,astroport-fi,$0.04637816
2024-07-09,ATOM,cosmos,$5.9
2024-07-09,AVAX,avalanche-2,$25.73
2024-07-09,sAVAX,benqi-liquid-staked-avax,$29.34
2024-07-09,BNB,binancecoin,$518.78
2024-07-09,BTC,bitcoin,$57783
2024-07-09,DOT,polkadot,$6.14
2024-07-09,ETH,ethereum,$3086.6
2024-07-09,wstETH,wrapped-steth,$3607.2
2024-07-09,FTM,fantom,$0.442389
2024-07-09,GRAIN,granary,$0.00682109
2024-07-09,INDY,indigo-dao-governance-token,$0.747754
2024-07-09,INJ,injective-protocol,$20.04
2024-07-09,KUJI,kujira,$1.016
2024-07-09,LDO,lido-dao,$1.59
2024-07-09,LINK,chainlink,$13.08
2024-07-09,LUNA,terra-luna-2,$0.376487
2024-07-09,LVN,levana-protocol,$0.03020059
2024-07-09,MNTA,mantadao,$0.182903
2024-07-09,NLS,nolus,$0.02553623
2024-07-09,ONE,harmony,$0.01312642
2024-07-09,OP,optimism,$1.53
2024-07-09,OSMO,osmosis,$0.48926
2024-07-09,PAXG,pax-gold,$2358.36
2024-07-09,QI,benqi,$0.01349873
2024-07-09,ROAR,lion-dao,$0.00000233
2024-07-09,SNEK,snek,$0.00087505
2024-07-09,SNX,havven,$1.64
2024-07-09,STRD,stride,$5.5
2024-07-09,TRX,tron,$0.129374
2024-07-09,sUSD,susd-optimism,$1.004
2024-07-09,USDC,usd-coin,$1.002
2024-07-09,USDt,tether,$1.003
2024-07-09,USK,usk,$0.989732
2024-07-09,WHALE,white-whale,$0.00536356
