Blockaverse	portfolio	2024-03-10		
				
Protocol	Blockchain	invested	value	gain/loss
GMX	Arbitrum	$2,818.00	$3,311.39	$493.39
Wallet	Arbitrum	$10.00	$353.30	$343.30
Benqi	Avalanche	$28,723.87	$27,760.32	-$963.55
GMX	Avalanche	$7,288.22	$10,676.71	$3,388.49
Indigo	Cardano	$4,465.58	$7,173.19	$2,707.61
	Fantom Opera	$17,324.65	$0.00	-$17,324.65
	Harmony	$22,776.46	$0.00	-$22,776.46
ETHBTC Trade	Kujira	$15,266.79	$16,252.34	$985.55
Mensa	Kujira	$545.04	$2,319.512	$1,774.471
ORCA Arbitrage	Kujira	$3,137.48	$4,780.42	$1,642.94
Sumo Vault	Kujira	$5,689.69	$6,796.48	$1,106.78
Ginkou	Migaloo	$385.00	$593.01	$208.01
Beethoven	Optimism	$184.00	$297.71	$113.71
Synthetix	Optimism	$120.00	$245.67	$125.67
TOROS	Optimism	$276.00	$434.21	$158.21
Wallet	Optimism	$0.00	$68.38	$68.38
ASTROPORT	Terra	$228.00	$221.57	-$6.43
CAPAPULT	Terra	$619.93	$1,191.01	$571.08
CAVERN	Terra	$731.93	$1,243.22	$511.29
ERIS	Terra	$306.95	$366.64	$59.69
LION DAO	Terra	$38.50	$251.70	$213.20
STATION	Terra	$142.24	$225.01	$82.78
SUN	TRON	$540.00	$722.65	$182.65
