date: 2023-08-01

Protocol	Blockchain	invested	value	gain/loss (%)
BEETHOVEN	FANTOM	$610.00	$568.14	-6.86%
GEIST	FANTOM	$16,764.65	$13,830.91	-17.50%
Benqi	Avalanche	$10,106.24	$6,073.98	-39.90%
GMX	Avalanche	$9,152.22	$11,529.70	25.98%
GMX	Arbitrum	$2,818.00	$2,568.23	-8.86%
OSMOSIS	COSMOS	$1,267.00	$527.81	-58.34%
KUJIRA	COSMOS	$21,870.17	$21,879.91	0.04%
AAVE	HARMONY	$503.06	$771.62	53.39%
UNITE	HARMONY	$295.77	$105.50	-64.33%
Synthetix	Optimism	$150.00	$153.18	2.12%
TOROS	Optimism	$276.00	$306.17	10.93%
Indigo	CARDANO	$220.00	$191.86	-12.79%
