Token	Type	invested	value	ROI
LUNA	STAKE	$142.24	$271.66	90.99%
ampLUNA	COLLATERAL	$2,000.00	$3,496.05	74.80%
arbLUNA	HODL	$306.95	$437.24	42.45%
arbWHALE	HODL	$0.00	$3.44	n/a
bWHALEt	COLLATERAL	$0.00	$3.58	n/a
bLUNA	COLLATERAL	$0.00	$21.34	n/a
ROAR	STAKE	$38.50	$230.07	497.58%
ampROAR	COLLATERAL	$112.00	$256.37	128.90%
ampWHALE	HODL	$0.00	$0.27	n/a
ampWHALEt	COLLATERAL	$75.00	$99.59	32.79%
axlUSDC	BID	$198.00	$198.00	
axlUSDC	EARN	$0.00	$161.08	n/a
axlUSDC	BORROW	$0.00	-$287.73	n/a
SOLID-axlUSDC	LP	$228.00	$221.57	-2.82%
SOLID	MINT	$0.00	-$251.90	n/a
SOLID	BID	$0.00	$153.09	n/a
USDC	EARN	$0.00	$14.01	n/a
CAPA	STAKE	$0.00	$6.03	n/a
