Protocol	Blockchain	invested	value	gain/loss (%)
Beethoven	FANTOM	$475.06	$660.54	39.04%
Equalizer	FANTOM	$550.30	$843.08	53.20%
GEIST	FANTOM	$5,403.95	$6,095.27	12.79%
GRANARY	FANTOM	$14,648.80	$11,380.24	-22.31%
HOMORA	FANTOM	$1,571.22	$1,977.30	25.84%
UNIDEX	FANTOM	$5,227.60	$8,524.78	63.07%
HOMORA	Avalanche	$1,604.54	$2,259.66	40.83%
Benqi	Avalanche	$26,097.31	$27,115.65	3.90%
GMX	Avalanche	$7,288.22	$11,066.47	51.84%
Trader Joe	Avalanche	$10,743.86	$9,647.30	-10.21%
GMX	Arbitrum	$2,818.00	$2,763.98	-1.92%
Demex	COSMOS	$360.00	$389.78	8.27%
OSMOSIS	COSMOS	$340.70	$445.32	30.71%
KUJIRA	COSMOS	$16,086.55	$17,364.68	7.95%
AAVE	HARMONY	$503.06	$950.97	89.04%
UNITE	HARMONY	$295.77	$213.47	-27.83%
HOMORA	Optimism	$102.00	$102.58	0.57%
Synthetix	Optimism	$88.72	$114.81	29.41%
TOROS	Optimism	$353.00	$362.01	2.55%
UNIDEX	Optimism	$10.00	$22.38	123.81%
