Protocol	Blockchain	invested	value	gain/loss (%)
Beethoven	FANTOM	$3,889.95	$4,425.42	13.77%
Equalizer	FANTOM	$749.80	$1,121.89	49.63%
GEIST	FANTOM	$6,852.39	$5,740.89	-16.22%
GRANARY	FANTOM	$9,656.22	$6,974.92	-27.77%
UNIDEX	FANTOM	$5,481.60	$9,510.87	73.51%
Benqi	Avalanche	$17,834.31	$16,498.28	-7.49%
GMX	Avalanche	$11,288.22	$15,845.94	40.38%
Trader Joe	Avalanche	$11,000.02	$9,268.00	-15.75%
GMX	Arbitrum	$5,318.25	$5,458.35	2.63%
Demex	COSMOS	$4,755.95	$4,877.16	2.55%
OSMOSIS	COSMOS	$942.20	$1,068.55	13.41%
KUJIRA	COSMOS	$13,055.22	$14,261.58	9.24%
AAVE	HARMONY	$503.06	$912.51	81.39%
UNITE	HARMONY	$295.77	$213.47	-27.83%
Synthetix	Optimism	$151.82	$190.15	25.25%
TOROS	Optimism	$358.00	$377.20	5.36%
UNIDEX	Optimism	$361.42	$361.42	0.00%
