n.name,a.name,b.name,z.name
DOT,USK,axlUSDC,DOT
DOT,axlUSDC,USK,DOT
DOT,USK,ATOM,axlUSDC,DOT
DOT,USK,STARS,axlUSDC,DOT
DOT,USK,KUJI,axlUSDC,DOT
DOT,USK,wETH,axlUSDC,DOT
DOT,axlUSDC,STARS,USK,DOT
DOT,axlUSDC,ATOM,USK,DOT
DOT,axlUSDC,SCRT,USK,DOT
DOT,axlUSDC,wETH,USK,DOT
DOT,axlUSDC,KUJI,USK,DOT
DOT,USK,ATOM,KUJI,USK,DOT
DOT,USK,ATOM,KUJI,axlUSDC,DOT
DOT,USK,ATOM,axlUSDC,USK,DOT
DOT,USK,ATOM,OSMO,axlUSDC,DOT
DOT,USK,axlUSDC,STARS,USK,DOT
DOT,USK,axlUSDC,ATOM,USK,DOT
DOT,USK,axlUSDC,SCRT,USK,DOT
DOT,USK,axlUSDC,wETH,USK,DOT
DOT,USK,axlUSDC,KUJI,USK,DOT
DOT,USK,STARS,axlUSDC,USK,DOT
DOT,USK,KUJI,ATOM,axlUSDC,DOT
DOT,USK,KUJI,ATOM,USK,DOT
DOT,USK,KUJI,axlUSDC,USK,DOT
DOT,USK,wETH,axlUSDC,USK,DOT
DOT,axlUSDC,OSMO,ATOM,axlUSDC,DOT
DOT,axlUSDC,OSMO,ATOM,USK,DOT
DOT,axlUSDC,STARS,USK,axlUSDC,DOT
DOT,axlUSDC,ATOM,KUJI,USK,DOT
DOT,axlUSDC,ATOM,KUJI,axlUSDC,DOT
DOT,axlUSDC,ATOM,USK,axlUSDC,DOT
DOT,axlUSDC,ATOM,OSMO,axlUSDC,DOT
DOT,axlUSDC,SCRT,USK,axlUSDC,DOT
DOT,axlUSDC,wETH,USK,axlUSDC,DOT
DOT,axlUSDC,KUJI,ATOM,axlUSDC,DOT
DOT,axlUSDC,KUJI,ATOM,USK,DOT
DOT,axlUSDC,KUJI,USK,axlUSDC,DOT
DOT,axlUSDC,USK,ATOM,axlUSDC,DOT
DOT,axlUSDC,USK,STARS,axlUSDC,DOT
DOT,axlUSDC,USK,KUJI,axlUSDC,DOT
DOT,axlUSDC,USK,wETH,axlUSDC,DOT
