n.name,a.name,b.name,z.name
wETH,USK,axlUSDC,wETH
wETH,axlUSDC,USK,wETH
wETH,USK,ATOM,axlUSDC,wETH
wETH,USK,DOT,axlUSDC,wETH
wETH,USK,STARS,axlUSDC,wETH
wETH,USK,KUJI,axlUSDC,wETH
wETH,axlUSDC,STARS,USK,wETH
wETH,axlUSDC,ATOM,USK,wETH
wETH,axlUSDC,SCRT,USK,wETH
wETH,axlUSDC,DOT,USK,wETH
wETH,axlUSDC,KUJI,USK,wETH
wETH,USK,ATOM,KUJI,USK,wETH
wETH,USK,ATOM,KUJI,axlUSDC,wETH
wETH,USK,ATOM,axlUSDC,USK,wETH
wETH,USK,ATOM,OSMO,axlUSDC,wETH
wETH,USK,DOT,axlUSDC,USK,wETH
wETH,USK,axlUSDC,STARS,USK,wETH
wETH,USK,axlUSDC,ATOM,USK,wETH
wETH,USK,axlUSDC,SCRT,USK,wETH
wETH,USK,axlUSDC,DOT,USK,wETH
wETH,USK,axlUSDC,KUJI,USK,wETH
wETH,USK,STARS,axlUSDC,USK,wETH
wETH,USK,KUJI,ATOM,axlUSDC,wETH
wETH,USK,KUJI,ATOM,USK,wETH
wETH,USK,KUJI,axlUSDC,USK,wETH
wETH,axlUSDC,OSMO,ATOM,axlUSDC,wETH
wETH,axlUSDC,OSMO,ATOM,USK,wETH
wETH,axlUSDC,STARS,USK,axlUSDC,wETH
wETH,axlUSDC,ATOM,KUJI,USK,wETH
wETH,axlUSDC,ATOM,KUJI,axlUSDC,wETH
wETH,axlUSDC,ATOM,USK,axlUSDC,wETH
wETH,axlUSDC,ATOM,OSMO,axlUSDC,wETH
wETH,axlUSDC,SCRT,USK,axlUSDC,wETH
wETH,axlUSDC,DOT,USK,axlUSDC,wETH
wETH,axlUSDC,KUJI,ATOM,axlUSDC,wETH
wETH,axlUSDC,KUJI,ATOM,USK,wETH
wETH,axlUSDC,KUJI,USK,axlUSDC,wETH
wETH,axlUSDC,USK,ATOM,axlUSDC,wETH
wETH,axlUSDC,USK,DOT,axlUSDC,wETH
wETH,axlUSDC,USK,STARS,axlUSDC,wETH
wETH,axlUSDC,USK,KUJI,axlUSDC,wETH
