n.name,a.name,b.name,z.name
KUJI,USK,ATOM,KUJI
KUJI,USK,axlUSDC,KUJI
KUJI,ATOM,USK,KUJI
KUJI,ATOM,axlUSDC,KUJI
KUJI,axlUSDC,ATOM,KUJI
KUJI,axlUSDC,USK,KUJI
KUJI,USK,ATOM,axlUSDC,KUJI
KUJI,USK,axlUSDC,ATOM,KUJI
KUJI,ATOM,USK,axlUSDC,KUJI
KUJI,ATOM,OSMO,axlUSDC,KUJI
KUJI,ATOM,axlUSDC,USK,KUJI
KUJI,axlUSDC,ATOM,USK,KUJI
KUJI,axlUSDC,OSMO,ATOM,KUJI
KUJI,axlUSDC,USK,ATOM,KUJI
KUJI,USK,ATOM,OSMO,axlUSDC,KUJI
KUJI,USK,ATOM,axlUSDC,USK,KUJI
KUJI,USK,axlUSDC,ATOM,USK,KUJI
KUJI,USK,axlUSDC,OSMO,ATOM,KUJI
KUJI,ATOM,USK,axlUSDC,ATOM,KUJI
KUJI,ATOM,OSMO,axlUSDC,ATOM,KUJI
KUJI,ATOM,OSMO,axlUSDC,USK,KUJI
KUJI,ATOM,axlUSDC,OSMO,ATOM,KUJI
KUJI,ATOM,axlUSDC,USK,ATOM,KUJI
KUJI,axlUSDC,ATOM,USK,axlUSDC,KUJI
KUJI,axlUSDC,ATOM,OSMO,axlUSDC,KUJI
KUJI,axlUSDC,OSMO,ATOM,USK,KUJI
KUJI,axlUSDC,OSMO,ATOM,axlUSDC,KUJI
KUJI,axlUSDC,USK,ATOM,axlUSDC,KUJI
