buy,sell,ratio,inverse,price
GRAV,USK,0,inf,$0.000
SCRT,USK,0.783,1.2771392,$0.788
AXL,USK,0,inf,$0.000
axlUSDT,axlUSDC,0,inf,$0.000
SHD,USK,6.826,0.14649868,$6.874
LUNA,USK,1.725,0.5797101,$1.737
ASTRO,USK,0.111,9.009009,$0.112
LINK,USK,0,inf,$0.000
wTAO,USK,76.52,0.0130684795,$77.056
CMDX,axlUSDC,0.172,5.8139534,$0.172
DOT,axlUSDC,6.661,0.15012762,$6.674
OSMO,axlUSDC,0.995,1.0050251,$0.997
ampLUNA,LUNA,1.129,0.8857396,$0.000
AQUA,USK,0,inf,$0.000
axlUSDC,USK,0.993,1.0070493,$1.000
KUJI,axlUSDC,0.557,1.7953322,$0.558
gPAXG,axlUSDC,1816.07,0.0005506396,$1819.702
CRO,USK,0,inf,$0.000
wBTC,USK,0,inf,$0.000
wETH,USK,1599.95,0.00062501954,$1611.150
INJ,USK,209.095,0.004782515,$210.559
stATOM,ATOM,0,inf,$0.000
KUJI,USK,0.553,1.8083184,$0.557
MARS,USK,0.253,3.9525692,$0.254
ampLUNA,USK,1.931,0.5178664,$1.945
OSMO,USK,0.968,1.0330578,$0.975
wAVAX,axlUSDC,0,inf,$0.000
LOOP,USK,0.006,166.66667,$0.006
wBNB,USK,300.762,0.0033248882,$302.867
LUNA,axlUSDC,1.721,0.58105755,$1.724
SCRT,axlUSDC,0.783,1.2771392,$0.785
LP KUJI-ATOM,KUJI,9.004,0.11106175,$5.000
JUNO,axlUSDC,1.239,0.8071025,$1.241
wBNB,axlUSDC,300.939,0.0033229326,$301.541
STARS,axlUSDC,0.026,38.461536,$0.026
FURY,USK,0.002,499.99997,$0.002
ATOM,OSMO,0,inf,$0.000
KUJI,LOCAL,12.29,0.08136696,$0.537
CMST,USK,0,inf,$0.000
LOCAL,USK,0.043,23.255814,$0.043
wMATIC,USK,1.406,0.71123755,$1.416
LOOP,axlUSDC,0,inf,$0.000
DOT,USK,6.611,0.15126304,$6.657
KUJI,LUNA,0.319,3.1347961,$0.000
wAVAX,USK,21.063,0.04747662,$21.210
wBTC,axlUSDC,0,inf,$0.000
wFTM,USK,0,inf,$0.000
LP KUJI-ATOM,ATOM,0,inf,$0.000
STRD,USK,0.471,2.1231422,$0.474
EVMOS,axlUSDC,0,inf,$0.000
JUNO,USK,1.233,0.81103,$1.242
gPAXG,USK,1800.6,0.00055537047,$1813.204
STARS,USK,0.023,43.47826,$0.023
wTAO,axlUSDC,76.84,0.013014056,$76.994
DAI,USK,0.955,1.0471205,$0.962
KUJI,ATOM,0.042,23.809525,$0.552
MARS,axlUSDC,0.259,3.8610039,$0.260
ATOM,axlUSDC,13.091,0.07638836,$13.117
ATOM,USK,13.084,0.076429226,$13.176
wETH,axlUSDC,1592.67,0.00062787643,$1595.855
CMDX,USK,0,inf,$0.000
