buy,sell,ratio,inverse,price
FURY,USK,0.002,499.99997,$0.003
DOT,axlUSDC,4.931,0.2027986,$4.936
SCRT,axlUSDC,0.666,1.5015014,$0.667
ampLUNA,USK,1.54,0.64935064,$1.629
LUNA,USK,1.437,0.6958942,$1.520
CRO,USK,0,inf,$0.000
axlUSDC,USK,0.946,1.0570825,$1.001
wBNB,USK,261.442,0.0038249404,$276.606
ATOM,axlUSDC,11.026,0.09069472,$11.037
LUNA,axlUSDC,1.529,0.6540222,$1.531
CMDX,axlUSDC,0.056,17.857141,$0.056
wETH,axlUSDC,1334.759,0.0007491989,$1336.093
wAVAX,axlUSDC,0,inf,$0.000
wETH,USK,1245.77,0.00080271636,$1318.025
OSMO,USK,0.718,1.3927577,$0.760
KUJI,axlUSDC,0.473,2.114165,$0.473
JUNO,axlUSDC,1.169,0.855432,$1.170
LOOP,axlUSDC,0,inf,$0.000
STRD,USK,0,inf,$0.000
SHD,USK,0,inf,$0.000
AXL,USK,0,inf,$0.000
KUJI,ATOM,0.043,23.255814,$0.476
KUJI,USK,0.44,2.2727273,$0.466
AQUA,USK,0.007,142.85713,$0.008
JUNO,USK,1.113,0.89847255,$1.178
SCRT,USK,0.633,1.5797788,$0.670
EVMOS,axlUSDC,0.351,2.8490028,$0.351
wBNB,axlUSDC,274.575,0.003641992,$274.850
LP KUJI-ATOM,KUJI,10.475,0.09546539,$4.906
axlUSDT,axlUSDC,0.98,1.0204082,$0.981
OSMO,axlUSDC,0.757,1.3210039,$0.758
STARS,USK,0.025,40,$0.026
DOT,USK,4.724,0.21168502,$4.998
ASTRO,USK,0.061,16.393442,$0.065
ATOM,OSMO,15,0.06666667,$11.358
STARS,axlUSDC,0.026,38.461536,$0.026
ATOM,USK,10.441,0.09577627,$11.047
LP KUJI-ATOM,ATOM,0,inf,$0.000
