date: 2023-01-08

lp-pair-1,lp-pair-2,volume
KUJI,axlUSDC,20.52k
KUJI,ATOM,940.51
KUJI,USK,13.46k
axlUSDC,USK,18.35k
axlUSDT,axlUSDC,0
ATOM,USK,13.16k
ampLUNA,USK,20.95
ASTRO,USK,284.54
AQUA,USK,9.47k
wBNB,USK,510.33
AXL,USK,39.76
CRO,USK,1
DOT,USK,0.15
wETH,USK,974.37
FURY,USK,1.8k
JUNO,USK,2.64k
LUNA,USK,53.73
OSMO,USK,2k
SHD,USK,434.39
SCRT,USK,999.09
STARS,USK,678.53
STRD,USK,0
ATOM,axlUSDC,6.75k
ATOM,OSMO,95.48
wAVAX,axlUSDC,0
wBNB,axlUSDC,276.16
CMDX,axlUSDC,12.99
DOT,axlUSDC,0
wETH,axlUSDC,379.26
EVMOS,axlUSDC,3.26
JUNO,axlUSDC,1.21k
LOOP,axlUSDC,67.8
LUNA,axlUSDC,517.25
OSMO,axlUSDC,1.5k
SCRT,axlUSDC,575.42
STARS,axlUSDC,260.84
LP KUJI-ATOM,ATOM,0
LP KUJI-ATOM,KUJI,120.37
