date,Asset,amount,for,amount,at price,valuation
2022-10-09,USK,98.925748,axlUSDC,100,$1.00,$1.01
2022-10-09,ATOM,7.5858,USK,100,$1.00,$13.18
2022-10-11,KUJI,100.008,axlUSDC,121,$1.00,$1.21
2022-10-11,axlUSDC,18.586,KUJI,15,$1.24,$1.00
2022-10-11,ATOM,8.3333,USK,100,$1.00,$12.00
2022-10-12,ATOM,8.4746,axlUSDC,100,$1.00,$11.80
2022-10-12,ATOM,8.539,axlUSDC,100,$1.00,$11.71
2022-10-12,ATOM,8.547,axlUSDC,100,$1.00,$11.70
2022-10-12,USK,19.806,axlUSDC,20,$1.00,$1.01
2022-10-12,ATOM,8.7443,axlUSDC,100,$1.00,$11.44
2022-10-13,KUJI,90.9091,axlUSDC,100,$1.00,$1.10
2022-10-13,KUJI,100,axlUSDC,100,$1.00,$1.00
2022-10-13,OSMO,46.729,axlUSDC,50,$1.00,$1.07
2022-10-13,ATOM,8.9525,axlUSDC,100,$1.00,$11.17
2022-10-13,ATOM,9.0909,axlUSDC,100,$1.00,$11.00
2022-10-14,axlUSDC,82.2841,ATOM,6.7612,$12.17,$1.00
2022-10-14,axlUSDC,51.1771,USK,50,$1.00,$0.98
2022-10-14,USK,80.2926,ATOM,6.6827,$12.02,$1.00
2022-10-14,axlUSDC,87.1926,USK,86.0224,$1.00,$0.99
2022-10-14,KUJI,91.4077,axlUSDC,100,$1.00,$1.09
2022-10-14,KUJI,92.2509,axlUSDC,100,$1.00,$1.08
2022-10-14,USK,54.856,ATOM,4.5075,$12.17,$1.00
2022-10-14,ATOM,8.5397,axlUSDC,100,$1.00,$11.71
2022-10-14,ATOM,8.6957,axlUSDC,100,$1.00,$11.50
2022-10-15,OSMO,85.6898,axlUSDC,100,$1.00,$1.17
2022-10-19,KUJI,107.336,ATOM,8.5869,$12.26,$0.98
2022-10-19,KUJI,104.718,ATOM,8.5869,$12.26,$1.01
2022-10-19,KUJI,26.5054,USK,23.5898,$1.00,$0.89
