n.name,a.name,b.name,z.name
OSMO,ATOM,axlUSDC,OSMO
OSMO,axlUSDC,ATOM,OSMO
OSMO,ATOM,KUJI,axlUSDC,OSMO
OSMO,ATOM,USK,axlUSDC,OSMO
OSMO,axlUSDC,KUJI,ATOM,OSMO
OSMO,axlUSDC,USK,ATOM,OSMO
OSMO,ATOM,KUJI,USK,ATOM,OSMO
OSMO,ATOM,KUJI,USK,axlUSDC,OSMO
OSMO,ATOM,KUJI,axlUSDC,ATOM,OSMO
OSMO,ATOM,USK,KUJI,ATOM,OSMO
OSMO,ATOM,USK,KUJI,axlUSDC,OSMO
OSMO,ATOM,USK,axlUSDC,ATOM,OSMO
OSMO,ATOM,axlUSDC,KUJI,ATOM,OSMO
OSMO,ATOM,axlUSDC,USK,ATOM,OSMO
OSMO,axlUSDC,ATOM,KUJI,axlUSDC,OSMO
OSMO,axlUSDC,ATOM,USK,axlUSDC,OSMO
OSMO,axlUSDC,KUJI,USK,ATOM,OSMO
OSMO,axlUSDC,KUJI,USK,axlUSDC,OSMO
OSMO,axlUSDC,KUJI,ATOM,axlUSDC,OSMO
OSMO,axlUSDC,USK,KUJI,ATOM,OSMO
OSMO,axlUSDC,USK,KUJI,axlUSDC,OSMO
OSMO,axlUSDC,USK,ATOM,axlUSDC,OSMO
