Liquid stake tokens,,,,,,,,,
,,,,,,,,,
date,blockchain,symbol,base,factor,price,url,exchange,burn,
2023-07-04,StaFiHub,rATOM,$9.90,1.4006,$13.86,https://app.stafihub.io/rToken/rATOM/dashboard,1.4006,22,
2023-07-04,Kujira,wstETH,$1959.97,0.8844,$2216.15,https://stake.lido.fi/wrap,1.1307,,
2023-07-04,Avalanche,sAVAX,$13.34,0.9161,$14.57,https://staking.benqi.fi/stake,1.0916,15,
2023-07-04,Fantom,sFTMX,$0.32,1.092,$0.35,https://www.staderlabs.com/fantom/,1.0920,7,
2023-07-04,Carbon,cGLP,$1.016,1.09673,$1.114,https://app.dem.exchange/strategy/glp-compounder,1.0967,,
2023-07-04,Terra,ampLUNA,$0.647,1.19,$0.770,https://www.erisprotocol.com/terra/amplifier,1.1900,24,
2023-07-04,Terra,arbLUNA,$0.647,1.293,$0.837,https://www.erisprotocol.com/terra/arb-vault,1.2930,,
2023-07-04,Terra,boneLUNA,$0.647,1.068932,$0.692,https://terra.gravedigger.zone/,1.0689,24,
2023-07-04,Terra,LunaX,$0.647,1.192937,$0.772,https://www.staderlabs.com/terra/lt-pools/,1.1929,24,
2023-07-04,Kujira,ampWHALE,$0.017,1.0361,$0.017,https://www.erisprotocol.com/migaloo/amplifier,1.0361,21,
