date,zone,lsd,exchange rate,halted,unbond (days)
2024-05-09,cosmos,stATOM,1.3534,false,24
2024-05-09,comdex,stCMDX,1.2445,false,24
2024-05-09,dydx,stDYDX,1.0420,false,35
2024-05-09,evmos,stEVMOS,1.5282,false,17
2024-05-09,inj,stINJ,1.2649,false,24
2024-05-09,juno,stJUNO,1.4697,false,33
2024-05-09,terra,stLUNA,1.2269,false,24
2024-05-09,osmo,stOSMO,1.2369,false,17
2024-05-09,saga,stSAGA,1.0078,false,24
2024-05-09,somm,stSOMM,1.0491,false,31
2024-05-09,stars,stSTARS,1.4924,false,17
2024-05-09,umee,stUMEE,1.1699,false,17
