date scraped: 2023-01-10

book,lp-pair-1,lp-pair-2,volume
1,KUJI,axlUSDC,44.64k
2,KUJI,ATOM,1.79k
3,KUJI,USK,12.98k
4,axlUSDC,USK,16.23k
5,axlUSDT,axlUSDC,0
6,ATOM,USK,10.58k
7,ampLUNA,USK,106.68
8,ASTRO,USK,279.85
9,AQUA,USK,15.39k
10,wBNB,USK,839.05
11,AXL,USK,0
12,CRO,USK,0
13,DOT,USK,590.63
14,wETH,USK,338.76
15,FURY,USK,896.13
16,JUNO,USK,1.54k
17,LUNA,USK,578.03
18,OSMO,USK,692.3
19,SHD,USK,0.1
20,SCRT,USK,3.39k
21,STARS,USK,776.94
22,STRD,USK,0
23,ATOM,axlUSDC,23.28k
24,ATOM,OSMO,30.63
25,wAVAX,axlUSDC,0
26,wBNB,axlUSDC,1.97k
27,CMDX,axlUSDC,1.05
28,DOT,axlUSDC,940.45
29,wETH,axlUSDC,431.15
30,EVMOS,axlUSDC,0.44
31,JUNO,axlUSDC,2.03k
32,LOOP,axlUSDC,0
33,LUNA,axlUSDC,5.59k
34,OSMO,axlUSDC,1.15k
35,SCRT,axlUSDC,5.77k
36,STARS,axlUSDC,174.79
37,LP KUJI-ATOM,ATOM,0
38,LP KUJI-ATOM,KUJI,270.21
