LSD,burn url,burn rate,
rATOM,https://app.stafihub.io/rToken/rATOM/dashboard,22,
sAVAX,https://staking.benqi.fi/stake,15,
sFTMX,https://www.staderlabs.com/fantom/,7,
ampLUNA,https://www.erisprotocol.com/terra/amplifier,24,
boneLUNA,https://terra.gravedigger.zone/,24,
LunaX,https://www.staderlabs.com/terra/lt-pools/,24,
stATOM,https://app.stride.zone/,24,
stCMDX,https://app.stride.zone/,24,
stDYDX,https://app.stride.zone/,35,
stEVMOS,https://app.stride.zone/,17,
stINJ,https://app.stride.zone/,24,
stJUNO,https://app.stride.zone/,33,
stLUNA,https://app.stride.zone/,24,
stOSMO,https://app.stride.zone/,17,
stSAGA,https://app.stride.zone/,24,
stSOMM,https://app.stride.zone/,31,
stSTARS,https://app.stride.zone/,17,
stUMEE,https://app.stride.zone/,17,
ampWHALE,https://www.erisprotocol.com/migaloo/amplifier,21,
